epoch,train_loss,train_heat,train_coord,train_conf,train_count,train_count_acc,train_err_x_mm,train_err_y_mm,train_err_z_mm,val_loss,val_heat,val_coord,val_conf,val_count,val_count_acc,val_err_x_mm,val_err_y_mm,val_err_z_mm,val_xyz_mm,lr,time_s
1,15.28296,0.710654,1.243745,0.697455,0.931723,0.9605,27.154,23.2107,22.8598,11.983747,0.697173,0.942046,0.624829,0.286943,0.9125,21.7011,24.3925,17.4095,43.3341,0.00018,84.2
2,13.807795,0.677085,1.122941,0.631222,0.100655,0.9605,24.4663,24.8503,22.1996,11.82907,0.657792,0.94269,0.588161,0.012661,0.9125,26.4355,20.2763,20.4317,44.065,0.00026000000000000003,37.5
3,12.81175,0.634697,1.028913,0.618979,0.006408,0.9605,24.7423,23.2308,19.9917,8.127003,0.602406,0.572272,0.590262,0.001422,0.9125,25.3448,17.3475,12.6318,38.2868,0.00034,35.1
4,8.990331,0.579508,0.650602,0.619315,0.001278,0.9605,23.3363,22.062,14.4013,9.409164,0.51669,0.713768,0.571348,0.000189,0.9125,21.1256,20.3353,15.3957,37.2927,0.00042,33.3
5,8.442842,0.50848,0.60454,0.600824,0.000124,0.9605,21.4493,21.1783,12.8642,5.694841,0.436345,0.340464,0.574908,0.000139,0.9125,20.298,18.7366,9.2608,33.4339,0.0005,33.9
6,9.006725,0.436167,0.659579,0.611625,0.000144,0.9605,22.3995,22.133,14.8144,11.496775,0.361839,0.92472,0.58036,5.1e-05,0.9125,22.5302,18.2814,19.4292,39.444,0.0005,33.3
7,10.608635,0.376373,0.82595,0.60173,2.9e-05,0.9605,23.158,21.5118,17.5629,15.730079,0.329305,1.344604,0.589516,2e-06,0.9125,17.6533,20.5864,25.1238,41.1776,0.0005,33.7
8,8.224523,0.32716,0.594739,0.587598,7e-06,0.9605,23.2287,21.2907,12.785,7.201652,0.285818,0.496035,0.581965,4e-06,0.9125,20.0218,19.082,12.0109,34.2644,0.0005,33.6
9,7.237322,0.272668,0.496488,0.590037,1.3e-05,0.9605,22.7232,19.9327,11.1381,8.694225,0.234614,0.644904,0.587832,9e-06,0.9125,21.4288,18.8342,13.879,35.8097,0.0005,33.7
10,7.502222,0.223221,0.526036,0.590217,1.6e-05,0.9605,20.2832,20.9608,11.9113,4.611264,0.186713,0.246049,0.570579,4e-06,0.9125,16.4907,16.4156,6.862,27.3214,0.0005,33.7
11,6.572007,0.18425,0.437075,0.582259,6e-06,0.9605,21.3489,19.5032,10.2976,6.039649,0.161182,0.389998,0.566583,5e-06,0.9125,17.8686,18.8057,9.7887,31.859,0.0005,33.0
12,6.48372,0.152608,0.427027,0.588997,3e-06,0.9605,20.3769,20.5476,10.0073,4.300164,0.136045,0.218167,0.565272,3e-06,0.9125,15.1164,18.2559,6.4179,27.1757,0.0005,32.9
13,6.049285,0.12687,0.387433,0.582303,5e-06,0.9605,18.7122,20.289,9.1683,4.932382,0.114981,0.282549,0.563758,4.9e-05,0.9125,15.5817,15.5138,8.7893,26.5217,0.0005,32.9
14,5.886663,0.104859,0.375306,0.571883,3.2e-05,0.9605,18.0298,17.467,9.7091,7.212954,0.092617,0.512259,0.564955,1e-06,0.9125,16.9361,18.1571,13.8505,31.9421,0.0005,33.4
