filename,n_sources_true,n_sources_pred,true_x,true_y,true_z,pred_x,pred_y,pred_z,pred_confidence,err_x,err_y,err_z,err_xy,err_xyz,matched
SIM_events_source_0000.csv,1,1,7.275,-52.502,35.293,6.276,-52.211,36.7,0.306,0.999,0.2914,1.4071,1.0406,1.7501,True
SIM_events_source_0001.csv,1,1,49.163,-61.359,20.429,53.527,-65.756,18.953,0.46,4.364,4.3967,1.4765,6.1948,6.3684,True
SIM_events_source_0002.csv,1,1,-7.698,53.889,-0.483,-5.37,56.272,0.448,0.4041,2.3279,2.3828,0.9314,3.3312,3.4589,True
SIM_events_source_0003.csv,1,1,67.3,12.893,47.949,68.545,26.646,44.971,0.487,1.245,13.7529,2.9783,13.8092,14.1267,True
SIM_events_source_0004.csv,1,1,-47.396,-42.218,4.265,-46.87,-46.552,3.97,0.3813,0.5261,4.3338,0.2945,4.3656,4.3756,True
SIM_events_source_0005.csv,1,1,-72.421,-75.22,48.765,-67.862,-65.232,44.259,0.4597,4.5587,9.9877,4.5061,10.9789,11.8676,True
SIM_events_source_0006.csv,1,1,70.287,40.946,-24.999,66.681,43.684,-23.485,0.5141,3.6056,2.7376,1.5143,4.5271,4.7737,True
SIM_events_source_0007.csv,1,1,-57.56,31.735,35.501,-63.122,28.658,37.905,0.4255,5.5623,3.0772,2.4037,6.3568,6.7961,True
SIM_events_source_0008.csv,1,1,67.167,-79.119,-26.387,67.649,-73.31,-33.856,0.4887,0.4816,5.8092,7.4687,5.8291,9.4742,True
SIM_events_source_0009.csv,1,1,-54.202,2.237,19.735,-55.94,-0.438,16.865,0.384,1.7383,2.6752,2.8701,3.1904,4.2914,True
SIM_events_source_0010.csv,1,1,-71.262,-67.576,-46.013,-65.124,-67.01,-43.564,0.5587,6.1382,0.5661,2.4492,6.1642,6.633,True
SIM_events_source_0011.csv,1,1,9.003,-23.081,20.089,10.819,-20.636,19.846,0.2951,1.8164,2.4446,0.2434,3.0455,3.0552,True
SIM_events_source_0012.csv,1,1,-4.077,-6.983,-23.659,2.628,-2.241,-21.6,0.2865,6.7049,4.7416,2.0588,8.2121,8.4662,True
SIM_events_source_0013.csv,1,1,25.144,6.969,-9.604,29.589,7.461,-9.958,0.3315,4.4451,0.4919,0.3545,4.4723,4.4863,True
SIM_events_source_0014.csv,1,1,39.04,72.937,19.291,40.864,69.781,19.669,0.4869,1.8237,3.156,0.3777,3.645,3.6646,True
SIM_events_source_0015.csv,1,1,21.097,-57.6,41.34,19.374,-60.289,41.243,0.3714,1.7235,2.6891,0.0971,3.194,3.1955,True
SIM_events_source_0016.csv,1,1,-23.722,45.775,-13.611,-19.199,47.89,-11.087,0.3853,4.5226,2.1147,2.5237,4.9926,5.5942,True
SIM_events_source_0017.csv,1,1,-78.698,3.238,-48.807,-72.33,6.754,-46.969,0.4583,6.3676,3.5165,1.838,7.274,7.5027,True
SIM_events_source_0018.csv,1,1,41.976,37.953,23.595,46.177,42.108,23.33,0.4376,4.2007,4.1553,0.2652,5.9086,5.9146,True
SIM_events_source_0019.csv,1,1,-3.207,-43.962,17.381,-0.928,-44.305,13.467,0.305,2.2787,0.3428,3.9136,2.3043,4.5416,True
SIM_events_source_0020.csv,1,1,-56.347,-48.184,-10.445,-55.732,-50.455,-10.002,0.419,0.6146,2.2708,0.4429,2.3524,2.3938,True
SIM_events_source_0021.csv,1,1,46.767,-58.968,-28.799,49.663,-60.034,-33.698,0.4106,2.8961,1.0661,4.8991,3.0861,5.7901,True
SIM_events_source_0022.csv,1,1,-37.635,-44.316,-3.913,-37.112,-46.435,-4.679,0.3545,0.5228,2.119,0.7659,2.1826,2.3131,True
SIM_events_source_0023.csv,1,1,-31.153,61.384,1.478,-31.323,61.261,-0.961,0.4478,0.1699,0.1228,2.4389,0.2096,2.4479,True
SIM_events_source_0024.csv,1,1,44.063,-18.329,-9.154,48.033,-14.426,-8.861,0.3604,3.9701,3.9025,0.2925,5.567,5.5746,True
SIM_events_source_0025.csv,1,1,24.332,-9.4,-24.058,32.826,-10.139,-22.824,0.3337,8.4938,0.7387,1.2344,8.5258,8.6147,True
SIM_events_source_0026.csv,1,1,36.293,-40.523,41.622,34.717,-48.025,41.054,0.3641,1.5758,7.5022,0.568,7.6659,7.6869,True
SIM_events_source_0027.csv,1,1,-32.582,-14.806,-25.73,-31.664,-15.223,-23.352,0.3176,0.9178,0.4168,2.378,1.008,2.5828,True
SIM_events_source_0028.csv,1,1,-39.284,-56.133,42.114,-42.039,-54.265,43.403,0.3203,2.7551,1.8681,1.2886,3.3287,3.5694,True
SIM_events_source_0029.csv,1,1,-1.506,-4.488,45.012,9.111,-3.169,43.992,0.3052,10.6169,1.3194,1.0197,10.6986,10.7471,True
SIM_events_source_0030.csv,1,1,47.231,-45.952,7.215,46.094,-44.997,3.382,0.3994,1.1366,0.9552,3.8332,1.4847,4.1107,True
SIM_events_source_0031.csv,1,1,-38.6,-70.239,-32.558,-41.303,-68.089,-35.161,0.448,2.7031,2.1503,2.6032,3.454,4.3252,True
SIM_events_source_0032.csv,1,1,34.895,13.353,-44.321,39.209,10.833,-44.501,0.3559,4.314,2.52,0.1797,4.9961,4.9993,True
SIM_events_source_0033.csv,1,1,-13.157,6.351,-47.264,-10.012,12.71,-47.512,0.3062,3.1453,6.3588,0.248,7.0942,7.0985,True
SIM_events_source_0034.csv,1,1,-26.556,27.328,36.957,-29.938,27.524,36.59,0.3523,3.3816,0.1961,0.3668,3.3872,3.407,True
SIM_events_source_0035.csv,1,1,-47.166,58.081,-31.3,-52.284,59.065,-31.54,0.5158,5.1182,0.9835,0.2398,5.2118,5.2174,True
