filename,n_sources_true,true_x,true_y,true_z,pred_x,pred_y,pred_z,err_x,err_y,err_z,err_xy,err_xyz,matched
SIM_events_source_0000.csv,5,-78.195,-39.551,-14.864,-57.913,-34.692,2.545,20.2823,4.8591,17.4094,20.8562,27.1674,True
SIM_events_source_0000.csv,5,-15.411,42.215,14.746,-17.961,13.503,13.907,2.5501,28.7122,0.8385,28.8252,28.8374,True
SIM_events_source_0000.csv,5,36.658,-47.826,10.866,9.709,-61.65,10.842,26.9487,13.8236,0.0244,30.2874,30.2874,True
SIM_events_source_0000.csv,5,-65.985,-59.83,9.001,-43.243,-53.895,-11.769,22.7423,5.9347,20.7699,23.5039,31.3659,True
SIM_events_source_0000.csv,5,-21.834,-63.1,4.322,-19.475,11.458,-11.918,2.3591,74.5575,16.2403,74.5948,76.3422,True
SIM_events_source_0001.csv,2,79.763,-60.368,7.347,63.913,-72.192,-3.796,15.8502,11.8239,11.1427,19.7746,22.6979,True
SIM_events_source_0001.csv,2,-53.227,-71.517,9.137,-34.122,-58.708,13.813,19.1045,12.8092,4.6764,23.0013,23.4718,True
SIM_events_source_0002.csv,2,61.881,13.062,5.224,60.294,5.005,10.518,1.587,8.0571,5.2941,8.2119,9.7705,True
SIM_events_source_0002.csv,2,23.677,-40.829,-9.289,44.292,-60.338,-0.871,20.6146,19.5089,8.4184,28.3824,29.6046,True
SIM_events_source_0003.csv,2,65.972,4.233,15.519,48.927,24.134,8.212,17.045,19.9006,7.3071,26.2024,27.2022,True
SIM_events_source_0003.csv,2,12.893,76.719,9.808,43.362,53.528,12.598,30.4694,23.1912,2.7901,38.2912,38.3927,True
SIM_events_source_0004.csv,1,-42.218,6.825,-18.998,-46.878,17.961,-2.966,4.6597,11.136,16.0316,12.0716,20.0682,True
SIM_events_source_0005.csv,2,-75.22,78.025,-14.536,-59.942,63.932,-15.952,15.2785,14.0929,1.4159,20.7856,20.8338,True
SIM_events_source_0005.csv,2,25.493,-59.788,-6.673,49.431,-69.907,0.509,23.9382,10.1187,7.182,25.989,26.9631,True
SIM_events_source_0006.csv,3,73.053,61.724,-19.128,43.071,24.237,-9.874,29.9823,37.4873,9.2542,48.0024,48.8864,True
SIM_events_source_0006.csv,3,-52.868,-50.812,-2.804,-48.882,-46.777,10.706,3.9856,4.0348,13.5097,5.6714,14.6518,True
